"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"sfmM2","","L-tyrosine C(3)-methyltransferase","2","83","161","54","1.2269938650306749","39.416058394160586","0.00808201751103794","3.127640734768426e-34","5.5709536767695205e-30","1.1606153493269834e-31"
"group_5540","","hypothetical protein","2","83","161","54","1.2269938650306749","39.416058394160586","0.00808201751103794","3.127640734768426e-34","5.5709536767695205e-30","1.1606153493269834e-31"
"group_5541","","hypothetical protein","2","83","161","54","1.2269938650306749","39.416058394160586","0.00808201751103794","3.127640734768426e-34","5.5709536767695205e-30","1.1606153493269834e-31"
"group_5542","","hypothetical protein","2","83","161","54","1.2269938650306749","39.416058394160586","0.00808201751103794","3.127640734768426e-34","5.5709536767695205e-30","1.1606153493269834e-31"
"group_5543","","hypothetical protein","2","83","161","54","1.2269938650306749","39.416058394160586","0.00808201751103794","3.127640734768426e-34","5.5709536767695205e-30","1.1606153493269834e-31"
"fabF_2","","3-oxoacyl-[acyl-carrier-protein] synthase 2","2","83","161","54","1.2269938650306749","39.416058394160586","0.00808201751103794","3.127640734768426e-34","5.5709536767695205e-30","1.1606153493269834e-31"
"group_7002","","hypothetical protein","2","83","161","54","1.2269938650306749","39.416058394160586","0.00808201751103794","3.127640734768426e-34","5.5709536767695205e-30","1.1606153493269834e-31"
"group_7003","","hypothetical protein","2","83","161","54","1.2269938650306749","39.416058394160586","0.00808201751103794","3.127640734768426e-34","5.5709536767695205e-30","1.1606153493269834e-31"
"group_7004","","hypothetical protein","2","83","161","54","1.2269938650306749","39.416058394160586","0.00808201751103794","3.127640734768426e-34","5.5709536767695205e-30","1.1606153493269834e-31"
"acpP_3","","Acyl carrier protein","2","83","161","54","1.2269938650306749","39.416058394160586","0.00808201751103794","3.127640734768426e-34","5.5709536767695205e-30","1.1606153493269834e-31"
"group_9262","","hypothetical protein","2","83","161","54","1.2269938650306749","39.416058394160586","0.00808201751103794","3.127640734768426e-34","5.5709536767695205e-30","1.1606153493269834e-31"
"group_9263","","hypothetical protein","2","83","161","54","1.2269938650306749","39.416058394160586","0.00808201751103794","3.127640734768426e-34","5.5709536767695205e-30","1.1606153493269834e-31"
"group_9264","","1,4-dihydroxy-2-naphthoyl-CoA hydrolase","2","83","161","54","1.2269938650306749","39.416058394160586","0.00808201751103794","3.127640734768426e-34","5.5709536767695205e-30","1.1606153493269834e-31"
"lolA_2","","Outer-membrane lipoprotein carrier protein","2","83","161","54","1.2269938650306749","39.416058394160586","0.00808201751103794","3.127640734768426e-34","5.5709536767695205e-30","1.1606153493269834e-31"
"group_9266","","hypothetical protein","2","83","161","54","1.2269938650306749","39.416058394160586","0.00808201751103794","3.127640734768426e-34","5.5709536767695205e-30","1.1606153493269834e-31"
"fabG_3","","3-oxoacyl-[acyl-carrier-protein] reductase FabG","2","83","161","54","1.2269938650306749","39.416058394160586","0.00808201751103794","3.127640734768426e-34","5.5709536767695205e-30","1.1606153493269834e-31"
"fabF_3","","3-oxoacyl-[acyl-carrier-protein] synthase 2","2","83","161","54","1.2269938650306749","39.416058394160586","0.00808201751103794","3.127640734768426e-34","5.5709536767695205e-30","1.1606153493269834e-31"
"group_5390","","hypothetical protein","112","6","51","131","68.71165644171779","95.62043795620438","47.947712418300654","5.914936603916375e-34","1.0535685078895847e-29","2.1501398120195607e-31"
"group_8713","","hypothetical protein","105","3","58","134","64.41717791411043","97.8102189781022","80.86206896551724","6.272958127169158e-34","1.1173393016113704e-29","2.1908613757085693e-31"
"group_8714","","hypothetical protein","105","3","58","134","64.41717791411043","97.8102189781022","80.86206896551724","6.272958127169158e-34","1.1173393016113704e-29","2.1908613757085693e-31"
"group_7001","","hypothetical protein","2","82","161","55","1.2269938650306749","40.14598540145985","0.008332070898348734","1.1997014503100791e-33","2.1369082232923128e-29","4.109438890946755e-31"
"group_5375","","hypothetical protein","103","4","60","133","63.190184049079754","97.08029197080292","57.079166666666666","1.1181583330035478e-31","1.9916636227459194e-27","3.7578558919734325e-29"
"group_1476","axe1-6A","Carbohydrate acetyl esterase/feruloyl esterase","160","57","3","80","98.15950920245399","58.3941605839416","74.85380116959064","3.478140661793272e-31","6.1952641467861755e-27","1.1472711382937362e-28"
"group_6773","","hypothetical protein","112","10","51","127","68.71165644171779","92.7007299270073","27.890196078431373","7.326462136927694e-30","1.304989435829561e-25","2.372708065144656e-27"
"group_720","","hypothetical protein","157","54","6","83","96.31901840490798","60.58394160583942","40.21913580246913","1.656603209096972e-29","2.950741636043526e-25","5.269181492934868e-27"
"group_6602","","hypothetical protein","159","58","4","79","97.54601226993866","57.66423357664233","54.14224137931034","1.9287111941699286e-29","3.435420379055477e-25","6.027053296588556e-27"
"group_8708","","hypothetical protein","111","10","52","127","68.09815950920245","92.7007299270073","27.109615384615385","2.4419692568008127e-29","4.349635640213607e-25","7.499371793471737e-27"
"papE_2","","Fimbrial protein PapE","131","24","32","113","80.3680981595092","82.48175182481752","19.274739583333332","5.0330353581639864e-29","8.964842579961693e-25","1.519464844061304e-26"
"group_2371","","hypothetical protein","159","59","4","78","97.54601226993866","56.934306569343065","52.55084745762712","6.786716516089908e-29","1.2088499458459345e-24","1.9817212226982534e-26"
"group_6601","","hypothetical protein","159","59","4","78","97.54601226993866","56.934306569343065","52.55084745762712","6.786716516089908e-29","1.2088499458459345e-24","1.9817212226982534e-26"
"group_5048","","hypothetical protein","159","60","4","77","97.54601226993866","56.20437956204379","51.0125","2.357645686039043e-28","4.199438495972744e-24","6.561622649957413e-26"
"group_8314","","hypothetical protein","159","60","4","77","97.54601226993866","56.20437956204379","51.0125","2.357645686039043e-28","4.199438495972744e-24","6.561622649957413e-26"
"group_5430","","hypothetical protein","4","77","159","60","2.4539877300613497","43.79562043795621","0.019603038470963","2.357645686039043e-28","4.199438495972744e-24","6.561622649957413e-26"
"group_263","cdiA_1","tRNA nuclease CdiA","157","57","6","80","96.31901840490798","58.3941605839416","36.72514619883041","7.294798051175843e-28","1.2993494288754411e-23","1.9108079836403545e-25"
"cdiI_2","","Immunity protein CdiI","157","57","6","80","96.31901840490798","58.3941605839416","36.72514619883041","7.294798051175843e-28","1.2993494288754411e-23","1.9108079836403545e-25"
"group_8476","","IS4 family transposase ISSfl1","157","57","6","80","96.31901840490798","58.3941605839416","36.72514619883041","7.294798051175843e-28","1.2993494288754411e-23","1.9108079836403545e-25"
"group_8477","","hypothetical protein","157","57","6","80","96.31901840490798","58.3941605839416","36.72514619883041","7.294798051175843e-28","1.2993494288754411e-23","1.9108079836403545e-25"
"papB_2","","Major pilu subunit operon regulatory protein PapB","141","35","22","102","86.50306748466258","74.45255474452554","18.677922077922076","8.573262740959275e-28","1.527069559419666e-23","2.2131442890140087e-25"
"cdiA_3","","Deoxyribonuclease CdiA","158","59","5","78","96.93251533742331","56.934306569343065","41.77627118644068","1.0246917783168779e-27","1.8251809955380227e-23","2.607401422197175e-25"
"group_5749","tam","Trans-aconitate 2-methyltransferase","2","71","161","66","1.2269938650306749","48.175182481751825","0.01154754614644388","1.3643855109006528e-27","2.430243472016243e-23","3.4228781296003422e-25"
